pincode,latitude,longitude
600001,13.0963,80.2866
600002,13.0689,80.2671
600003,13.0816,80.2752
600004,13.0369,80.2676
600005,13.064,80.2806
600006,13.0504,80.2486
600007,13.0832,80.2614
600008,13.0744,80.2565
600009,13.0812,80.2837
600010,13.0857,80.2452
600011,13.1123,80.2379
600012,13.0986,80.2596
600013,13.1138,80.2945
600014,13.0535,80.2695
600015,13.0213,80.2231
600016,13.0021,80.2005
600017,13.0413,80.2339
600018,13.0367,80.2517
600019,13.1638,80.2984
600020,13.0038,80.2569
600021,13.1154,80.2831
600022,13.0024,80.2278
600023,13.0986,80.234
600024,13.0532,80.2231
600025,13.0132,80.2327
600026,13.0509,80.2121
600027,12.977,80.1787
600028,13.0223,80.2591
600029,13.0709,80.2236
600030,13.0787,80.2251
600031,13.0732,80.2408
600032,13.0177,80.2057
600033,13.035,80.2217
600034,13.0592,80.24
600035,13.0311,80.2398
600036,12.9908,80.2357
600037,13.0836,80.1731
600038,13.0986,80.214
600039,13.1183,80.2595
600040,13.0849,80.2102
600041,12.9611,80.2592
600042,12.9755,80.2206
600043,12.9631,80.1657
600044,12.9611,80.1372
600045,12.9307,80.1119
600046,12.9068,80.1214
600047,12.9455,80.1229
600048,12.8602,80.1466
600049,13.1052,80.2047
600050,13.0911,80.1832
600051,13.1643,80.2555
600052,13.2031,80.154
600053,13.1143,80.1545
600054,13.1262,80.0814
600055,13.1599,80.0703
600056,13.045,80.1157
600057,13.2032,80.3164
600058,13.0932,80.1615
600059,12.9228,80.1274
600060,13.1556,80.2247
600061,12.9782,80.1865
600062,13.1389,80.1354
600063,12.9076,80.0954
600064,12.9361,80.1517
600065,13.1635,80.0898
600066,13.1616,80.2004
600067,13.2394,80.2098
600068,13.1656,80.271
600069,13.0013,80.0926
600070,12.9823,80.1226
600071,13.1043,80.1038
600072,13.0916,80.0703
600073,12.9155,80.1521
600074,12.9835,80.14
600075,12.9749,80.1266
600076,13.1128,80.1897
600077,13.0733,80.1232
600078,13.041,80.2001
600079,13.0931,80.2774
600080,13.115,80.1854
600081,13.1354,80.2934
600082,13.1182,80.2203
600083,13.036,80.204
600084,13.0837,80.2546
600085,13.0185,80.2448
600086,13.0488,80.2558
600087,13.0373,80.1777
600088,12.9883,80.2035
600089,13.0181,80.187
600090,12.9957,80.2677
600091,12.9617,80.1994
600092,13.0621,80.1924
600093,13.0525,80.1983
600094,13.0635,80.2234
600095,13.0556,80.1801
600096,12.9598,80.2404
600097,12.9384,80.2396
600098,13.1055,80.1722
600099,13.1342,80.2058
600100,12.9171,80.1941
